"channel_id","emote"
217568,"ilcLate"
217568,"ilcWICKED"
219086,"veetHAA"
219086,"veetTilt"
219086,"veetYEOKBUD"
219086,"veetLikeThis"
219086,"veetRage"
219086,"veetBALD"
219086,"veetCLAPS"
219086,"veetLAG"
219086,"veetHIBUD"
219086,"veetFRICKS"
219086,"veetV"
219086,"veetCLAP"
219086,"veetPog"
219086,"veetPepeFricks"
219086,"veetHey"
219086,"veetK"
219086,"veetRigged"
232217,"steelserieKoob"
232217,"steelserieRaid"
232217,"steelserieLarsvibe"
232217,"steelserieLarsshocked"
232217,"steelserieHype"
232217,"steelserieRekt"
232217,"steelserieGG"
232217,"steelserieSS"
232217,"steelserieRIP"
232217,"steelserieTear"
232217,"steelserieNeonoir"
232217,"steelserieUpsidedown"
232217,"steelserieMayday"
232217,"steelserieBiggs"
232217,"steelserieLarshype"
232217,"steelserieQckprism"
232217,"steelserieDoggo"
232217,"steelserieDisapprovingKoob"
232217,"steelserieNO"
232217,"steelserieArctis7"
232217,"steelserieStra"
232217,"steelserieLarsad"
232217,"steelserieWink"
232217,"steelserieIvy"
232217,"steelserieSocks"
232217,"steelserieHmm"
232217,"steelserieLaughcry"
232217,"steelserieCry"
232217,"steelserieMineLars"
232217,"steelserieAerox"
232217,"steelserieHolysh"
232217,"steelserieApektkl"
232217,"steelserieWicket"
232217,"steelserieLarskiss"
236583,"sxhO"
236583,"sxhHeart"
236583,"sxhT"
236583,"sxhLOL"
236583,"sxhHood"
236583,"sxhUnder"
236583,"sxhMink"
236583,"sxhHello"
236583,"sxhFriends"
236583,"sxhRaid"
236583,"sxhHAA"
236583,"sxhSink"
236583,"sxhSwamp"
236583,"sxhBlue"
236583,"sxhRed"
236583,"sxhYellow"
236583,"sxhGreen"
236583,"sxhAwk"
236583,"sxhLUL"
236583,"sxhPalm"
236583,"sxhDang"
236583,"sxhBean"
236583,"sxhCops"
236583,"sxhSauce"
236583,"sxhSus"
236583,"sxhTrain"
236583,"sxhM2"
236583,"sxh100"
236583,"sxhPooPoo"
236583,"sxhDee"
236583,"sxhBwire"
236583,"sxhMeemee"
236583,"sxhFlex"
236583,"sxhOpe"
236583,"sxhRS"
236583,"sxhWontons"
236583,"sxhHG"
236583,"sxhFlex2"
241636,"dnkMM"
241636,"dnkBest"
241636,"dnkBigb"
241636,"dnkTinyb"
241636,"dnkHornt2"
241636,"dnkWTF"
241636,"dnkSub"
241636,"dnkAnime"
241636,"dnkBuhee"
241636,"dnkExtraMad"
241636,"dnkHug"
241636,"dnkZzz"
241636,"dnkLove"
241636,"dnkIncog"
241636,"dnkOld"
241636,"dnkBlessed"
241636,"dnk6"
241636,"dnkThrow"
241636,"dnkHornt"
241636,"dnkSad"
241636,"dnkBlind"
241636,"dnkSip"
241636,"dnkAngry"
241636,"dnkHuh"
241636,"dnkS"
241636,"dnkSmug"
241636,"dnkLock"
241636,"dnkWing"
241636,"dnkExtraLuck"
241636,"dnkHappy"
241636,"dnkOhNo"
241636,"dnkYo"
241636,"dnkLurk"
241636,"dnkPalm"
241636,"dnkShop"
241636,"dnkD"
241636,"dnkNoted"
241636,"dnkWin"
261715,"fppBrad"
261715,"fppCarlos"
261715,"fppManti"
261715,"fppKris"
261715,"fppDat"
261715,"fppCoolChris"
261715,"fppHyde"
261715,"fppFeelsDavisMan"
261715,"fppWat"
261715,"fppHi"
261715,"fppDavis"
261715,"fppThumb"
261715,"fppHenry"
274625,"swiftCandy"
274625,"swiftMore"
274625,"swiftWell"
274625,"swiftYep"
274625,"swiftLife"
274625,"swiftUs"
274625,"swiftHand"
274625,"swiftThink"
274625,"swiftPrank"
274625,"swiftLike"
274625,"swiftFeelsOld"
274625,"swiftSnaka"
274625,"swiftCrazy"
274625,"swiftBags"
274625,"swiftBully"
274625,"swiftSmart"
274625,"swiftBait"
274625,"swiftPretty"
274625,"swiftAmaze"
274625,"swiftRekt"
274625,"swiftPanic"
274625,"swiftHehe"
274625,"swiftWow"
274625,"swiftUh"
274625,"swiftHipster"
274625,"swiftKit"
274625,"swiftClown"
274625,"swiftJail"
274625,"swiftAbd"
274625,"swiftMask"
274625,"swiftHack"
274625,"swiftHappy"
274625,"swiftHypers"
274625,"swiftPega"
274625,"swiftOw"
274625,"swiftLie"
274625,"swiftBoot"
274625,"swiftCrash"
274625,"swiftBucks"
274625,"swiftLate"
274625,"swiftQuack"
274625,"swiftGold"
274625,"swiftSilver"
274625,"swiftReally"
274625,"swiftIQ"
274625,"swiftDerp"
274625,"swiftGig"
274625,"swiftGreed"
274625,"swiftSad"
274625,"swiftChoke"
274625,"swiftRiot"
274625,"swiftOof"
274625,"swiftWhew"
274625,"swiftOmg"
274625,"swiftLove"
274625,"swiftWait"
274625,"swiftSmash"
274625,"swiftBank"
296682,"cousChill"
296682,"cousWave"
296682,"cousSad"
296682,"cousGasm"
296682,"cousJasix"
296682,"cousRager"
296682,"cousShuffle"
296682,"cousRigged"
296682,"cousGG"
296682,"cousOhai"
